Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance,
09/03/2026,FPI,30-12-34,12345678,T FAIRHURST,,580,1426.24
09/03/2026,TFR,30-12-34,12345678,M FAIRHURST,,500,846.24
09/03/2026,DEB,30-12-34,12345678,SQ *BACK2BASICS,72,,346.24
09/03/2026,DEB,30-12-34,12345678,BSH HOME APPLIANCE,21.38,,418.24
09/03/2026,DEB,30-12-34,12345678,AMAZON* T76EH0RS5,19.99,,439.62
09/03/2026,DEB,30-12-34,12345678,CLR*LOWDEN GARDEN,4.6,,459.61
09/03/2026,DEB,30-12-34,12345678,CLR*LOWDEN GARDEN,3,,464.21
09/03/2026,TFR,30-12-34,12345678,L FAIRHURST,13.08,,467.21
09/03/2026,FPO,30-12-34,12345678,TOBY,11,,480.29
06/03/2026,DEB,30-12-34,12345678,amazon.co.uk*ZG4O7,3.99,,491.29
06/03/2026,DEB,30-12-34,12345678,SQ *THE WAVERLEY,12.6,,495.28
06/03/2026,DEB,30-12-34,12345678,SQ *THE WAVERLEY,12,,507.88
06/03/2026,DEB,30-12-34,12345678,MIPERMIT LTD,8.9,,519.88
06/03/2026,FPO,30-12-34,12345678,ELLA,36.63,,528.78
05/03/2026,DEB,30-12-34,12345678,QUEEN SQUARE DENTA,27.4,,565.41
05/03/2026,DEB,30-12-34,12345678,ZETTLE_*THE BERTIN,7.95,,592.81
05/03/2026,DEB,30-12-34,12345678,WAITROSE STORES,4.95,,600.76
04/03/2026,DEB,30-12-34,12345678,COFFEE GEMS LTD,41.5,,605.71
04/03/2026,DD,30-12-34,12345678,PNET5308321-1,22.99,,647.21
03/03/2026,DEP,30-12-34,12345678,CLUB LLOYDS WAIVED,,5,670.2
03/03/2026,PAY,30-12-34,12345678,CLUB LLOYDS FEE,5,,665.2
02/03/2026,,30-12-34,12345678,INTEREST (GROSS),,2.43,670.2
02/03/2026,DEB,30-12-34,12345678,ALDI STORES,63.28,,667.77
02/03/2026,DEB,30-12-34,12345678,THE CELTIC MANOR R,25,,731.05
02/03/2026,DEB,30-12-34,12345678,THE CELTIC MANOR R,13.2,,756.05
